	SRR5440795.trimmed.Athaliana.bam	SRR5440804.trimmed.Athaliana.bam	SRR5440813.trimmed.Athaliana.bam	SRR5440822.trimmed.Athaliana.bam	SRR5440831.trimmed.Athaliana.bam	SRR5440840.trimmed.Athaliana.bam
AT1G05894	13	10	13	6	2	1
AT1G05900	306	320	335	270	250	352
AT1G05910	1047	1262	1091	1021	1178	1504
AT1G05920	0	0	0	0	0	0
AT1G05930	0	1	0	2	0	0
AT1G05940	972	1175	979	667	582	886
AT1G05950	121	112	109	86	80	110
AT1G05960	1418	1472	1334	970	1066	1469
AT1G05970	94	88	77	80	76	87
AT1G05980	0	0	0	0	0	0
AT1G05990	0	1	0	0	4	0
AT1G06002	1065	2082	1411	914	767	1030
AT1G06000	1065	2082	1411	914	767	1030
AT1G06010	122	122	120	109	94	140
AT1G06020	6	3	2	2	1	2
AT1G06030	6	7	7	5	8	10
AT1G06040	4886	5404	4656	3522	3270	4517
AT1G06045	1792	2070	1742	1117	1026	1521
AT1G06050	194	202	171	153	174	253
AT1G06060	587	610	519	305	293	484
